stanica1,stanica2,distance,duration
47,48,678.5,60.8
48,49,356.8,33.1
49,50,789.9,72.3
50,51,726.2,91.5
51,52,291.4,19.1
52,53,468.7,35.7
53,54,519.4,57.0
54,55,377.7,37.1
55,7,748.8,74.7
7,8,476.4,37.7
8,9,610.1,37.3
9,10,563.8,43.1
10,11,336.3,22.0
11,12,407.2,45.1
12,13,255.4,34.1
13,14,400.2,55.5
14,15,203.8,26.1
15,16,345.5,35.3
16,17,404.4,56.2
17,56,811.5,133.9
56,30,1420.7,189.8
30,57,310.2,24.8
57,58,396.4,41.9
58,59,261.2,20.9
59,60,304.7,29.4
60,61,237.8,19.0
61,62,156.9,12.6
62,63,479.2,38.7
63,42,252.1,31.2
